"Rank","Exam Name","Exam Code","Practice Tests","PYQ's Count","Quizzes","Subjects","Topics","Total","PYQ Years"
"1","RRB Group D","RRB-GROUP-D","118","129","1464","4","25","247","2018 | 2022 | 2025 | 2026"
"2","Delhi Police Constable- SSC","SSC-DPC","55","56","965","16","129","111","2017 | 2020 | 2023"
"3","SSC MTS","SSC-MTS","16","27","795","24","182","43","2016 | 2017 | 2019 | 2021 | 2022 | 2023 | 2024"
"4","SSC GD Constable","SSC-GD","13","25","754","23","163","38","2017 | 2019 | 2020 | 2021 | 2023 | 2024 | 2025"
"5","SSC Stenographer Grade C & D","SSC-STENO","19","19","684","20","159","38","2017 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025"
"6","SSC CPO (SI Delhi Police & CAPF)","SSC-CPO","17","17","669","19","138","34","2017"
"7","SSC CHSL Tier-I","SSC-CHSL-T1","12","17","619","23","180","29","2017 | 2018 | 2020 | 2021 | 2022"
"8","Haryana Police Constable","HR-POL-CONST","13","12","573","25","179","25","2018 | 2021 | 2024"
"9","Rajasthan Police Constable","RJ-POL-CONST","17","20","545","9","89","37","2001 | 2003 | 2007 | 2008 | 2010 | 2013 | 2014 | 2020 | 2022"
"10","SSC Selection Post (Matriculation Level)","SSC-SSP-MAT","45","45","436","4","16","90","2022 | 2023 | 2024 | 2025"
"11","ESIC UDC Prelims","ESIC-UDC-P","2","1","462","23","180","3","2019"
"12","SBI Clerk Prelims","SBI-CLK-P","14","14","419","10","78","28","2021 | 2022 | 2023 | 2025"
"13","NEET","NEET","12","16","293","5","26","28","2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025"
"14","SSC CGL","SSC-CGL","25","25","243","4","13","50","2016 | 2017 | 2019 | 2020 | 2022 | 2023 | 2024 | 2025"
"15","SSC Selection Post","SSC-SSP","22","22","210","4","16","44","2022 | 2023 | 2024 | 2025"
"16","UPSC Prelims","UPSC-PRE","11","22","196","2","2","33","2015 | 2016 | 2017 | 2018 | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025"
"17","Central Teacher Eligibility Test","CTET","6","13","172","11","22","19","2021 | 2022 | 2024"
"18","RRB NTPC","RRB-NTPC","16","16","158","3","14","32","2016 | 2020 | 2021 | 2025"
"19","SSC Selection Post (Higher Secondary Level)","SSC-SSP-HS","14","14","134","4","16","28","2022 | 2023 | 2024 | 2025"
"20","IBPS PO (Probationary Officer) - Prelims","IBPS-PO-PRE","14","14","130","3","30","28","2016 | 2018 | 2019 | 2020 | 2021 | 2023 | 2024 | 2025"
"21","CIL (Coal India Limited)","CIL","8","10","128","8","8","18","2017 | 2020 | 2025"
"22","IBPS Clerk - Prelims","IBPS-CLERK-PRE","8","8","73","3","30","16","2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025"
"23","UP Police Constable","UP-POLICE-CON","2","3","43","7","17","5","2013 | 2019 | 2024"
"24","RSSB Computer Instructor","RSSB-CI","2","4","38","5","5","6","2022"

"","TOTAL","","481","549","10203","","","1030",""
